#EXPORTTYPE:                 ,ALL                       
#FILE:                       ,¿‰’•1.ngb-sd7               
#FORMAT:                     ,NETZSCH5                  
#FTYPE:                      ,ANSI                      
#IDENTITY:                   ,1                         
#DECIMAL:                    ,POINT                     
#SEPARATOR:                  ,COMMA                     
#MTYPE:                      ,DSC                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1 Phoenix 
#PROJECT:                    ,1                         
#DATE/TIME:                  ,2023/4/24 16:00:36 (UTC+8)
#CORR. FILE:                 ,                          
#TEMPCAL:                    ,applied                   
#SENSITIVITY:                ,applied                   
#LABORATORY:                 ,                          
#OPERATOR:                   ,0                         
#REMARK:                     ,                          
#SAMPLE:                     ,¿‰’•                        
#SAMPLE MASS /mg:            ,8.70                      
#MATERIAL:                   ,                          
#REFERENCE:                  ,                          
#REFERENCE MASS /mg:         ,0                         
#TYPE OF CRUCIBLE:           ,Concavus Pan Al, open     
#SAMPLE CRUCIBLE MASS /mg:   ,0                         
#REFERENCE CRUCIBLE MASS /mg:,0                         
#M.RANGE /¶ÃV:                ,5000                      
#TAU-R:                      ,---                       
#CORR. CODE:                 ,000                       
#EXO:                        ,+1                        
#RANGE:                      ,20°„C/10.0(K/min)/120°„C    
#SEGMENT:                    ,S1/1                      
#SEG. 1:                     ,20°„C/10.0(K/min)/120°„C    

#*RESULTS:     ,File,Segment,Result,Unit,Y_value,Unit ,Range_Xmin,Unit,Range_Xmax,Unit,Range_Ymin,Unit ,Range_Ymax,Unit 
#*Area (DSC)(o),¿‰’•1 ,1      ,-64.2 ,J/g ,-      ,-    ,40.9      ,°„C  ,115.5     ,°„C  ,-0.4018   ,mW/mg,-0.5886   ,mW/mg
#*Onset (DSC)  ,¿‰’•1 ,1      ,40.9  ,°„C  ,-0.3843,mW/mg,27.1      ,°„C  ,86.9      ,°„C  ,-0.3427   ,mW/mg,-0.7623   ,mW/mg
#*Peak (DSC)   ,¿‰’•1 ,1      ,88.1  ,°„C  ,-0.7629,mW/mg,27.1      ,°„C  ,102.1     ,°„C  ,-0.3427   ,mW/mg,-0.7099   ,mW/mg
#*End (DSC)    ,¿‰’•1 ,1      ,115.5 ,°„C  ,-0.5887,mW/mg,88.8      ,°„C  ,119.8     ,°„C  ,-0.7628   ,mW/mg,-0.5461   ,mW/mg

##Temp./°„C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
 11.94951,0.25333,      -0.18637,3.29850,1
 11.99741,0.25667,      -0.18886,3.29850,1
 12.04538,0.26000,      -0.19150,3.29850,1
 12.09343,0.26333,      -0.19409,3.29850,1
 12.14156,0.26667,      -0.19661,3.29849,1
 12.18975,0.27000,      -0.19901,3.29849,1
 12.23807,0.27333,      -0.20155,3.29849,1
 12.28639,0.27667,      -0.20406,3.29849,1
 12.33477,0.28000,      -0.20652,3.29848,1
 12.38318,0.28333,      -0.20888,3.29848,1
 12.43161,0.28667,      -0.21126,3.29848,1
 12.48011,0.29000,      -0.21350,3.29848,1
 12.52864,0.29333,      -0.21570,3.29847,1
 12.57720,0.29667,      -0.21784,3.29847,1
 12.62584,0.30000,      -0.21992,3.29847,1
 12.67448,0.30333,      -0.22198,3.29846,1
 12.72313,0.30667,      -0.22407,3.29846,1
 12.77175,0.31000,      -0.22621,3.29846,1
 12.82043,0.31333,      -0.22822,3.29846,1
 12.86913,0.31667,      -0.22999,3.29845,1
 12.91785,0.32000,      -0.23186,3.29845,1
 12.96659,0.32333,      -0.23379,3.29845,1
 13.01530,0.32667,      -0.23569,3.29844,1
 13.06402,0.33000,      -0.23746,3.29844,1
 13.11274,0.33333,      -0.23920,3.29844,1
 13.16146,0.33667,      -0.24092,3.29843,1
 13.21018,0.34000,      -0.24258,3.29843,1
 13.25890,0.34333,      -0.24432,3.29843,1
 13.30761,0.34667,      -0.24595,3.29842,1
 13.35636,0.35000,      -0.24759,3.29842,1
 13.40511,0.35333,      -0.24920,3.29842,1
 13.45384,0.35667,      -0.25075,3.29841,1
 13.50256,0.36000,      -0.25220,3.29841,1
 13.55128,0.36333,      -0.25360,3.29841,1
 13.60000,0.36667,      -0.25497,3.29840,1
 13.64875,0.37000,      -0.25634,3.29840,1
 13.69751,0.37333,      -0.25774,3.29840,1
 13.74623,0.37667,      -0.25913,3.29839,1
 13.79493,0.38000,      -0.26050,3.29839,1
 13.84364,0.38333,      -0.26187,3.29839,1
 13.89234,0.38667,      -0.26321,3.29838,1
 13.94107,0.39000,      -0.26442,3.29838,1
 13.98982,0.39333,      -0.26555,3.29838,1
 14.03854,0.39667,      -0.26668,3.29837,1
 14.08725,0.40000,      -0.26784,3.29837,1
 14.13598,0.40333,      -0.26894,3.29837,1
 14.18470,0.40667,      -0.26999,3.29836,1
 14.23348,0.41000,      -0.27104,3.29836,1
 14.28218,0.41333,      -0.27209,3.29835,1
 14.33090,0.41667,      -0.27315,3.29835,1
 14.37962,0.42000,      -0.27420,3.29835,1
 14.42833,0.42333,      -0.27525,3.29834,1
 14.47703,0.42667,      -0.27630,3.29834,1
 14.52574,0.43000,      -0.27732,3.29834,1
 14.57448,0.43333,      -0.27829,3.29833,1
 14.62321,0.43667,      -0.27918,3.29833,1
 14.67193,0.44000,      -0.28007,3.29832,1
 14.72066,0.44333,      -0.28088,3.29832,1
 14.76938,0.44667,      -0.28170,3.29832,1
 14.81810,0.45000,      -0.28251,3.29831,1
 14.86680,0.45333,      -0.28321,3.29831,1
 14.91548,0.45667,      -0.28397,3.29830,1
 14.96418,0.46000,      -0.28478,3.29830,1
 15.01287,0.46333,      -0.28556,3.29830,1
 15.06156,0.46667,      -0.28638,3.29829,1
 15.11025,0.47000,      -0.28724,3.29829,1
 15.15895,0.47333,      -0.28808,3.29828,1
 15.20761,0.47667,      -0.28886,3.29828,1
 15.25629,0.48000,      -0.28946,3.29827,1
 15.30497,0.48333,      -0.29006,3.29827,1
 15.35367,0.48667,      -0.29074,3.29827,1
 15.40239,0.49000,      -0.29142,3.29826,1
 15.45105,0.49333,      -0.29210,3.29826,1
 15.49970,0.49667,      -0.29277,3.29825,1
 15.54836,0.50000,      -0.29340,3.29825,1
 15.59700,0.50333,      -0.29371,3.29824,1
 15.64566,0.50667,      -0.29420,3.29824,1
 15.69428,0.51000,      -0.29485,3.29823,1
 15.74293,0.51333,      -0.29547,3.29823,1
 15.79161,0.51667,      -0.29605,3.29823,1
 15.84023,0.52000,      -0.29662,3.29822,1
 15.88885,0.52333,      -0.29719,3.29822,1
 15.93748,0.52667,      -0.29779,3.29821,1
 15.98610,0.53000,      -0.29833,3.29821,1
 16.03472,0.53333,      -0.29888,3.29820,1
 16.08334,0.53667,      -0.29943,3.29820,1
 16.13197,0.54000,      -0.29989,3.29819,1
 16.18059,0.54333,      -0.30036,3.29819,1
 16.22923,0.54667,      -0.30082,3.29818,1
 16.27785,0.55000,      -0.30134,3.29818,1
 16.32644,0.55333,      -0.30183,3.29817,1
 16.37505,0.55667,      -0.30230,3.29817,1
 16.42364,0.56000,      -0.30271,3.29816,1
